"Type","Date","Name / Number","Sender","Content"
"Received","Oct 26, 2025 4:14:26 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 25, 2025 3:52:49 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 24, 2025 7:13:53 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 23, 2025 4:52:00 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 23, 2025 1:59:45 PM","MTTQ ","MTTQ ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank."
"Received","Oct 22, 2025 6:14:16 PM","CELLPHONES","CELLPHONES","Tang ban voucher 300K: B_0A93F741 ap dung cung dac quyen S-Student giam toi da 500K + qua tang 3.2tr khi mua laptop den 31/10: https://go.cps.onl/3nc238dh"
"Received","Oct 22, 2025 4:16:00 PM","MOMO","MOMO","Ban co 10.000D qua Nap Dien Thoai & 140.000D qua khac trong MoMo, het han 31/10. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Oct 19, 2025 5:37:33 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) MyVNPT: Nạp thẻ dễ dàng – Ưu đãi ngập tràn! VinaPhone tặng Quý khách 50% khi nạp tiền điện thoại bằng hình thức trực tiếp DUY NHẤT trên ứng dụng My VNPT trong hôm nay 19/10/2025 tại: https://my.vnpt.com.vn/adv/napdt . Khuyến mãi được sử dụng gọi và nhắn tin trong 15 ngày. CSKH:18001091 (0đ)."
"Received","Oct 17, 2025 11:04:29 AM","MTTQ ","MTTQ ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank."
"Received","Oct 15, 2025 11:53:39 AM","UIT","UIT","Truong DH CNTT thong bao nghi hoc Mon Khai thac du lieu truyen thong xa hoi(IE403.Q11) vao thu 4 ngay 15 thang 10 nam 2025. Chi tiet vui long lien he (028) 372 52002 chon 155"
